token,mean_importance_yta,mean_importance_nta,diff,count_yta_docs,count_nta_docs,abs_diff
taking,0.0,0.9690488365465005,-0.9690488365465005,0,1,0.9690488365465005
needed,0.10688293881979238,1.0,-0.8931170611802076,2,1,0.8931170611802076
video,0.0,0.8300034362918328,-0.8300034362918328,0,1,0.8300034362918328
videogames,0.21895566278201242,1.0,-0.7810443372179876,1,1,0.7810443372179876
x200b,1.0,0.23958431063505528,0.7604156893649447,1,1,0.7604156893649447
continues,1.0,0.24142229411765218,0.7585777058823479,1,1,0.7585777058823479
pushes,1.0,0.2768006588619468,0.7231993411380532,1,1,0.7231993411380532
believe,1.0,0.2940413522804686,0.7059586477195314,1,2,0.7059586477195314
airbnb,0.8781546251432508,0.2130140854683246,0.6651405396749263,1,1,0.6651405396749263
whatnot,0.12102105438629697,0.781997432729615,-0.660976378343318,1,1,0.660976378343318
hoping,0.6405065430259294,0.0,0.6405065430259294,1,0,0.6405065430259294
figured,0.0,0.638389164382286,-0.638389164382286,0,1,0.638389164382286
such,0.3625576639735163,1.0,-0.6374423360264837,1,1,0.6374423360264837
conversation,0.37472526933974154,1.0,-0.6252747306602584,1,1,0.6252747306602584
discomfort,0.9131258328747035,0.3098757895551255,0.603250043319578,1,1,0.603250043319578
boring,0.5860048164451948,0.0,0.5860048164451948,1,0,0.5860048164451948
username,0.0,0.5795971263084523,-0.5795971263084523,0,1,0.5795971263084523
frankly,0.574357050103551,0.0,0.574357050103551,1,0,0.574357050103551
m26,0.8465460000337323,0.27843169688440783,0.5681143031493244,1,1,0.5681143031493244
honestly,0.6493034714185105,0.0895102268818264,0.5597932445366841,1,1,0.5597932445366841
comments,0.0,0.5421641772583706,-0.5421641772583706,0,1,0.5421641772583706
agree,0.13273977664935768,0.6695966959981822,-0.5368569193488245,1,1,0.5368569193488245
computers,0.5181220025682742,0.0,0.5181220025682742,1,0,0.5181220025682742
thank,0.8413134440155045,0.33151561867700746,0.5097978253384969,1,2,0.5097978253384969
considering,0.8811008739377626,0.37200531089556915,0.5090955630421934,1,1,0.5090955630421934
grandpa,0.5078075763541942,0.0,0.5078075763541942,1,0,0.5078075763541942
clean,0.5027006710117883,1.0,-0.4972993289882117,1,1,0.4972993289882117
bashing,0.48562971236042335,0.0,0.48562971236042335,1,0,0.48562971236042335
admit,0.17291807320422567,0.65562106258609,-0.4827029893818643,1,1,0.4827029893818643
age,0.6818804591038125,0.2010581770260615,0.48082228207775096,1,1,0.48082228207775096
*,0.5784078590078288,0.09843332461703816,0.47997453439079063,5,4,0.47997453439079063
sht,0.0,0.4721573676324866,-0.4721573676324866,0,1,0.4721573676324866
emails,0.4587718696776998,0.0,0.4587718696776998,2,0,0.4587718696776998
grounding,0.543925011630139,1.0,-0.45607498836986105,1,1,0.45607498836986105
someone,1.0,0.5456859147777413,0.4543140852222587,1,2,0.4543140852222587
guy,0.25838199931870803,0.7067243078957244,-0.44834230857701635,2,1,0.44834230857701635
rejecting,1.0,0.5578142625045255,0.4421857374954745,1,1,0.4421857374954745
fence,0.5370710805230732,0.9769716295472106,-0.43990054902413744,2,1,0.43990054902413744
usually,0.5601210061361845,1.0,-0.43987899386381546,1,1,0.43987899386381546
dicking,0.609221197396464,0.1717667189823044,0.4374544784141596,1,1,0.4374544784141596
wrong,0.22705075551492426,0.6639644535498416,-0.4369136980349173,2,1,0.4369136980349173
angry,0.0,0.4347832898270492,-0.4347832898270492,0,1,0.4347832898270492
an,0.6013059209684873,0.1703493248285543,0.43095659613993303,4,5,0.43095659613993303
sticking,0.7100637690631059,0.27968011480722915,0.4303836542558767,1,1,0.4303836542558767
awesome,0.0,0.4294756635945944,-0.4294756635945944,0,1,0.4294756635945944
interrupting,0.42628475117433245,0.0,0.42628475117433245,1,0,0.42628475117433245
gently,1.0,0.5778586529123367,0.42214134708766327,1,1,0.42214134708766327
heard,0.7347212305884423,0.3141899873231765,0.4205312432652658,1,1,0.4205312432652658
offensive,0.698345591887783,0.27899814195642214,0.41934744993136086,1,1,0.41934744993136086
felt,0.4178449518591287,0.0,0.4178449518591287,1,0,0.4178449518591287
anxiety,0.4170985073382564,0.0,0.4170985073382564,2,0,0.4170985073382564
letting,0.34928422910550216,0.7624775441801737,-0.4131933150746715,1,1,0.4131933150746715
christmas,0.4120526777968883,0.0,0.4120526777968883,1,0,0.4120526777968883
convention,0.40907548300416796,0.0,0.40907548300416796,1,0,0.40907548300416796
brat,0.0,0.40502822367635527,-0.40502822367635527,0,1,0.40502822367635527
2am,0.0,0.4036511323936389,-0.4036511323936389,0,1,0.4036511323936389
talked,0.40219374577626654,0.0,0.40219374577626654,1,0,0.40219374577626654
decision,0.25358049480929407,0.6540710559287763,-0.4004905611194823,1,1,0.4004905611194823
grandma,0.7128749031863164,0.3140137774404663,0.3988611257458501,1,2,0.3988611257458501
sharing,0.0,0.3963056930626511,-0.3963056930626511,0,1,0.3963056930626511
